Date,Energy
2019-01-01,2
2019-01-02,2
2019-01-03,8
2019-01-04,11
2019-01-05,6
2019-01-06,6
2019-01-07,9
2019-01-08,5
2019-01-09,6
2019-01-10,2
2019-01-11,3
2019-01-12,3
2019-01-13,3
2019-01-14,7
2019-01-15,18
2019-01-16,18
2019-01-17,19
2019-01-18,17
2019-01-19,8
2019-01-20,6
2019-01-21,8
2019-01-22,16
2019-01-23,22
2019-01-24,24
2019-01-25,29
2019-01-26,11
2019-01-27,9
2019-01-28,32
2019-01-29,42
2019-01-30,41
2019-01-31,48
2019-02-01,31
2019-02-02,16
2019-02-03,6
2019-02-04,16
2019-02-05,7
2019-02-06,10
2019-02-07,26
2019-02-08,29
2019-02-09,19
2019-02-10,19
2019-02-11,28
2019-02-12,29
2019-02-13,35
2019-02-14,41
2019-02-15,58
2019-02-16,137
2019-02-17,40
2019-02-18,97
2019-02-19,100
2019-02-20,90
2019-02-21,53
2019-02-22,200
2019-02-23,117
2019-02-24,41
2019-02-25,195
2019-02-26,106
2019-02-27,65
2019-02-28,241
2019-03-01,204
2019-03-02,24
2019-03-03,36
2019-03-04,18
2019-03-06,81
2019-03-07,110
2019-03-08,172
2019-03-09,76
2019-03-10,80
2019-03-11,105
2019-03-12,168
2019-03-13,83
2019-03-14,45
2019-03-15,79
2019-03-16,163
2019-03-17,99
2019-03-18,70
2019-03-19,71
2019-03-20,63
2019-03-21,49
2019-03-22,28
2019-03-23,46
2019-03-24,62
2019-03-25,80
2019-03-26,78
2019-03-27,56
2019-03-28,49
2019-03-29,45
2019-03-30,53
2019-03-31,356
2019-04-01,164
2019-04-02,100
2019-04-03,54
2019-04-04,51
2019-04-05,50
2019-04-06,45
2019-04-07,32
2019-04-08,42
2019-04-09,62
2019-04-10,67
2019-04-11,51
2019-04-12,52
2019-04-13,24
2019-04-14,47
2019-04-15,60
2019-04-16,60
2019-04-17,56
2019-04-18,36
2019-04-19,27
2019-04-20,24
2019-04-21,23
2019-04-22,23
2019-04-23,33
2019-04-24,29
2019-04-25,5
2019-04-26,1
2019-04-28,23
2019-04-29,45
2019-04-30,51
2019-05-01,49
2019-05-02,32
2019-05-03,20
2019-05-04,13
2019-05-05,16
2019-05-06,17
2019-05-07,21
2019-05-08,27
2019-05-09,18
2019-05-10,30
2019-05-11,5
2019-05-12,18
2019-05-13,20
2019-05-14,15
2019-05-15,15
2019-05-16,25
2019-05-17,12
2019-05-18,13
2019-05-19,12
2019-05-20,18
2019-05-21,28
2019-05-22,25
2019-05-23,22
2019-05-24,13
2019-05-25,10
2019-05-26,20
2019-05-27,27
2019-05-28,16
2019-05-29,32
2019-05-30,26
2019-05-31,41
2019-06-01,37
2019-06-02,16
2019-06-03,21
2019-06-04,19
2019-06-05,9
2019-06-06,23
2019-06-07,14
2019-06-08,19
2019-06-09,19
2019-06-10,18
2019-06-11,37
2019-06-12,25
2019-06-13,19
2019-06-14,17
2019-06-15,28
2019-06-16,25
2019-06-17,22
2019-06-18,24
2019-06-19,19
2019-06-20,22
2019-06-21,38
2019-06-22,16
2019-06-23,10
2019-06-24,24
2019-06-25,89
2019-06-26,64
2019-06-27,36
2019-06-28,23
